model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow
densenet,68,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40_68,4.987853020429611
densenet,69,densenet121-imagenet_origin-Edge5-MShape10-LMerg37-NLAll90_69,4.987853020429611
densenet,70,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg31-MDtype61_70,4.987853020429611
densenet,71,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36-NLAll52-SpecialI92_71,4.987853020429611
densenet,72,densenet121-imagenet_origin-MDtype1-MDtype8-LMerg36-NLAll52-NLAll68_72,4.987853020429611
densenet,73,densenet121-imagenet_origin-MDtype1-MDtype8-NLAll43_73,4.987853020429611
densenet,74,densenet121-imagenet_origin-Edge5-NLAll20-MDtype22_74,4.987853020429611
densenet,75,densenet121-imagenet_origin-MShape15_75,4.987853020429611
densenet,76,densenet121-imagenet_origin-Edge5-LMerg11-NLAll63-NLAll64_76,0.7973210960626602
densenet,77,densenet121-imagenet_origin-Edge5-MShape10-LMerg37-NLAll79_77,0.7973210960626602
densenet,78,densenet121-imagenet_origin-MDims4_78,0.5963831283152103
densenet,79,densenet121-imagenet_origin-MDtype1-MDtype8-NLAll43-NLAll88_79,0.5963831283152103
densenet,80,densenet121-imagenet_origin-Edge5-LMerg11-NLAll44-NLAll51-NLAll62_80,0.5963831283152103
densenet,81,densenet121-imagenet_origin-MDims4-MParam24-Edge28-Edge38-Edge86_81,4.110981225967407
densenet,82,densenet121-imagenet_origin-MDtype1_82,0.1858568917959929
densenet,83,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40-NLAll46-MDtype54-SpecialI94_83,8.319523334503174
densenet,84,densenet121-imagenet_origin-MParam87_84,0.4139923714101315
densenet,85,densenet121-imagenet_origin-MParam14-Edge41_85,5.326529681682587
densenet,86,densenet121-imagenet_origin-Edge0-SpecialI2-LMerg6-NLAll53_86,5.326529681682587
densenet,87,densenet121-imagenet_origin-MParam14-MDtype85_87,0.497451163828373
densenet,88,densenet121-imagenet_origin-MParam14-Edge50_88,1.560795143246651
densenet,89,densenet121-imagenet_origin-MDims4-MDtype7-LMerg30_89,1.560795143246651
densenet,90,densenet121-imagenet_origin-Edge5-LMerg11-NLAll40-NLAll46-MShape77_90,2.953576117753983
densenet,91,densenet121-imagenet_origin-MDims4-MShape9_91,0.06707385554909706
densenet,92,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-NLAll39_92,0.06707385554909706
densenet,93,densenet121-imagenet_origin-MDims4-MParam24_93,0.3761675208806992
densenet,94,densenet121-imagenet_origin-Edge5-MShape10-MDims13-NLAll21-MDims48-MParam49-NLAll65_94,0.3761675208806992
densenet,95,densenet121-imagenet_origin-MDtype1-MDtype12-MShape26_95,0.3761675208806992
densenet,96,densenet121-imagenet_origin-Edge0-NLAll57_96,0.3761675208806992
densenet,97,densenet121-imagenet_origin-MDtype1-MDtype60_97,0.3761675208806992
lenet5_fashion,1,lenet5-fashion-mnist_origin-NLAll83_1,2.209292944144181e-07
lenet5_fashion,2,lenet5-fashion-mnist_origin-MDims0-SpecialI11_2,1.035818684158585e-06
lenet5_fashion,3,lenet5-fashion-mnist_origin-MDims0-MParam4-MParam14-Edge20_3,2.167419239640367e-07
lenet5_fashion,4,lenet5-fashion-mnist_origin-MDims0-LMerg25-MParam68_4,3.101659586945971e-07
lenet5_fashion,5,lenet5-fashion-mnist_origin-NLAll30-LMerg38-Edge63-NLAll90_5,3.101659586945971e-07
lenet5_fashion,6,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam31-SpecialI35_6,
lenet5_fashion,7,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam40-MParam49-MParam53-LMerg88_7,7.135880650821491e-07
lenet5_fashion,8,lenet5-fashion-mnist_origin-LMerg2-MParam74_8,8.651241003576615e-06
lenet5_fashion,9,lenet5-fashion-mnist_origin-NLAll30-MShape32-MParam39-LMerg67_9,8.651241003576615e-06
lenet5_fashion,10,lenet5-fashion-mnist_origin-SpecialI5-MDims8_10,
lenet5_fashion,11,lenet5-fashion-mnist_origin-MDims0-LMerg25-NLAll28_11,
lenet5_fashion,12,lenet5-fashion-mnist_origin-MDims0_12,3.720921348815409e-07
lenet5_fashion,13,lenet5-fashion-mnist_origin-SpecialI5-LMerg34-MDtype57_13,
lenet5_fashion,14,lenet5-fashion-mnist_origin-Edge7-NLAll18_14,0.0001351069995507714
lenet5_fashion,15,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19_15,1.491465582148521e-07
lenet5_fashion,16,lenet5-fashion-mnist_origin-NLAll30-MShape32_16,1.491465582148521e-07
lenet5_fashion,17,lenet5-fashion-mnist_origin-MDims0-LMerg25-NLAll28-MShape75_17,1.491465582148521e-07
lenet5_fashion,18,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam40_18,1.491465582148521e-07
lenet5_fashion,19,lenet5-fashion-mnist_origin-SpecialI5-LMerg34-MDtype86_19,
lenet5_fashion,20,lenet5-fashion-mnist_origin-MDims0-Edge12-MShape44_20,1.792272155398678e-05
lenet5_fashion,21,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-Edge33_21,3.372579477911586e-07
lenet5_fashion,22,lenet5-fashion-mnist_origin-NLAll30-MShape32-MParam39_22,3.372579477911586e-07
lenet5_fashion,23,lenet5-fashion-mnist_origin-MDims0-MParam4-MParam14-MShape51_23,8.522043835057502e-07
lenet5_fashion,24,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19-NLAll81-NLAll93_24,8.522043835057502e-07
lenet5_fashion,25,lenet5-fashion-mnist_origin-LMerg2-MDims64_25,4.108832811766661e-07
lenet5_fashion,26,lenet5-fashion-mnist_origin-MDims0-MParam70_26,1.824775637260245e-07
lenet5_fashion,27,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam31-MDims71_27,6.144173312350176e-07
lenet5_fashion,28,lenet5-fashion-mnist_origin-MDims0-MParam4-Edge76_28,2.137107912858482e-07
lenet5_fashion,29,lenet5-fashion-mnist_origin-SpecialI5-LMerg34_29,
lenet5_fashion,30,lenet5-fashion-mnist_origin-MDims0-LMerg25_30,4.345187711862764e-07
lenet5_fashion,31,lenet5-fashion-mnist_origin-NLAll30-LMerg38_31,4.345187711862764e-07
lenet5_fashion,32,lenet5-fashion-mnist_origin-MDims0-MParam37_32,5.670873548524469e-08
lenet5_fashion,33,lenet5-fashion-mnist_origin-MDims1-MShape97_33,7.647127269194698e-07
lenet5_fashion,34,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam78_34,7.466846518866532e-07
lenet5_fashion,35,lenet5-fashion-mnist_origin-LMerg2-MParam59_35,3.162176724913479e-07
lenet5_fashion,36,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-NLAll46-NLAll52-Edge65_36,
lenet5_fashion,37,lenet5-fashion-mnist_origin-MDims0-MParam4-MParam14-MParam50_37,2.132325320758355e-07
lenet5_fashion,38,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims22-MDims26_38,1.035271637306323e-06
lenet5_fashion,39,lenet5-fashion-mnist_origin-MDims0-MParam4_39,3.42989036283825e-07
lenet5_fashion,40,lenet5-fashion-mnist_origin-MDims1-MDtype15-MDtype16-NLAll47-NLAll61_40,3.42989036283825e-07
lenet5_fashion,41,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19-MShape89_41,3.42989036283825e-07
lenet5_fashion,42,lenet5-fashion-mnist_origin-MDims1-MDtype15-MDtype16-MParam73_42,3.42989036283825e-07
lenet5_fashion,43,lenet5-fashion-mnist_origin-NLAll30-LMerg38-Edge63_43,3.42989036283825e-07
lenet5_fashion,44,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-Edge45_44,
lenet5_fashion,45,lenet5-fashion-mnist_origin-MDims1-MDtype15-MDtype16_45,
lenet5_fashion,46,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19-MDims23_46,1.928929727057493e-07
lenet5_fashion,47,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam31_47,1.461224858445576e-06
lenet5_fashion,48,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17_48,
lenet5_fashion,49,lenet5-fashion-mnist_origin-Edge7_49,0.0001195597203604848
lenet5_fashion,50,lenet5-fashion-mnist_origin-SpecialI5-MDims8-MParam87_50,
lenet5_fashion,51,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-SpecialI27_51,
lenet5_fashion,52,lenet5-fashion-mnist_origin-MDims1-MShape3-MDtype6-LMerg82_52,
lenet5_fashion,53,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9_53,4.043193086999963e-07
lenet5_fashion,54,lenet5-fashion-mnist_origin-MDims1-LMerg58_54,4.043193086999963e-07
lenet5_fashion,55,lenet5-fashion-mnist_origin-MDims0-SpecialI13_55,
lenet5_fashion,56,lenet5-fashion-mnist_origin-LMerg2_56,2.773995788629691e-07
lenet5_fashion,57,lenet5-fashion-mnist_origin-MDims0-MParam4-LMerg55_57,4.571218923388187e-07
lenet5_fashion,58,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam40-MParam49-MParam53_58,8.061337020137671e-07
lenet5_fashion,59,lenet5-fashion-mnist_origin-SpecialI5_59,
lenet5_fashion,60,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam31-MParam48_60,3.592725192902435e-07
lenet5_fashion,61,lenet5-fashion-mnist_origin-Edge43_61,7.757306934763619e-05
lenet5_fashion,62,lenet5-fashion-mnist_origin-NLAll30_62,7.757306934763619e-05
lenet5_fashion,63,lenet5-fashion-mnist_origin-MDims1_63,1.031227384373778e-06
lenet5_fashion,64,lenet5-fashion-mnist_origin-MDims1-MShape3-MDtype6_64,1.031227384373778e-06
lenet5_fashion,65,lenet5-fashion-mnist_origin-Edge7-NLAll18-NLAll21_65,1.031227384373778e-06
lenet5_fashion,66,lenet5-fashion-mnist_origin_66,1.725668354879417e-07
lenet5_fashion,67,lenet5-fashion-mnist_origin-MDims0-LMerg25-NLAll28-MDtype99_67,1.725668354879417e-07
lenet5_fashion,68,lenet5-fashion-mnist_origin-Edge7-MParam95_68,4.612425522054764e-05
lenet5_fashion,69,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam40-MParam49_69,4.612425522054764e-05
lenet5_fashion,70,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24_70,5.787207335572475e-07
lenet5_fashion,71,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-NLAll46-NLAll52_71,
lenet5_fashion,72,lenet5-fashion-mnist_origin-MDims1-MShape3-MDtype6-SpecialI10_72,
lenet5_fashion,73,lenet5-fashion-mnist_origin-NLAll30-MShape32-MDtype72_73,
lenet5_fashion,74,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19-MDims60_74,1.295565859038561e-07
lenet5_fashion,75,lenet5-fashion-mnist_origin-NLAll83-MParam98_75,3.849335818983946e-07
lenet5_fashion,76,lenet5-fashion-mnist_origin-MDims1-MDtype15-MDtype16-NLAll47_76,3.849335818983946e-07
lenet5_fashion,77,lenet5-fashion-mnist_origin-MDims0-Edge12_77,0.0001184581101369986
lenet5_fashion,78,lenet5-fashion-mnist_origin-Edge7-NLAll85_78,0.0002262649595650146
lenet5_fashion,79,lenet5-fashion-mnist_origin-MDims0-MParam4-MParam14-MParam50-NLAll92_79,0.0002262649595650146
lenet5_fashion,80,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-NLAll46_80,
lenet5_fashion,81,lenet5-fashion-mnist_origin-SpecialI5-MDims8-NLAll36_81,
lenet5_fashion,82,lenet5-fashion-mnist_origin-LMerg2-MParam74-MShape79_82,
lenet5_fashion,83,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-NLAll62_83,
lenet5_fashion,84,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims24-MParam40-MParam49-MParam53-MDtype69_84,3.574078821344528e-06
lenet5_fashion,85,lenet5-fashion-mnist_origin-SpecialI5-MDims8-Edge17-MParam91_85,
lenet5_fashion,86,lenet5-fashion-mnist_origin-MDims1-MDtype15-MDtype16-Edge42_86,
lenet5_fashion,87,lenet5-fashion-mnist_origin-LMerg2-MParam59-Edge80_87,2.695205907343734e-07
lenet5_fashion,88,lenet5-fashion-mnist_origin-MDims1-MShape3-MDtype29_88,1.048726428365399e-06
lenet5_fashion,89,lenet5-fashion-mnist_origin-LMerg94_89,3.534346255662513e-07
lenet5_fashion,90,lenet5-fashion-mnist_origin-MDims1-MShape3_90,8.987179285213642e-07
lenet5_fashion,91,lenet5-fashion-mnist_origin-Edge7-NLAll18-MDtype54_91,9.498762270254701e-05
lenet5_fashion,92,lenet5-fashion-mnist_origin-MDims1-MDtype15-NLAll84_92,9.498762270254701e-05
lenet5_fashion,93,lenet5-fashion-mnist_origin-MDims1-MShape3-LMerg9-MDims22_93,7.199111351496867e-07
lenet5_fashion,94,lenet5-fashion-mnist_origin-MDims0-MParam4-LMerg55-MDims96_94,3.18397439968976e-07
lenet5_fashion,95,lenet5-fashion-mnist_origin-MDims1-MDtype15_95,3.18397439968976e-07
lenet5_fashion,96,lenet5-fashion-mnist_origin-SpecialI5-LMerg34-MDims66_96,
lenet5_fashion,97,lenet5-fashion-mnist_origin-MDims0-MParam4-MDtype19-NLAll81_97,
