mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
GF,75,"(7.039851e-05, 5.2978317e-05)","(0.22424519, 0.18779789)","(0.22425501, 0.1877924)"
GF,80,"(7.242141e-05, 5.273495e-05)","(0.22586739, 0.18409179)","(0.22587489, 0.18408825)"
GF,85,"(7.11543e-05, 5.4626198e-05)","(0.22494799, 0.18108362)","(0.22495346, 0.1810835)"
GF,90,"(7.115394e-05, 5.8868714e-05)","(0.224948, 0.17613827)","(0.22495346, 0.1761251)"
GF,95,"(6.414034e-05, 5.257476e-05)","(0.22468363, 0.1737299)","(0.2246921, 0.17374255)"
GF,100,"(6.541852e-05, 5.0109815e-05)","(0.22344404, 0.17394112)","(0.22345293, 0.17394175)"
AFRM,1,"(8.360894e-05, 6.204777e-05)","(-100.0, -100.0)","(-100.0, -100.0)"
AFRM,2,"(6.929918e-05, 5.6110784e-05)","(0.2518132328987121, 0.236156091094017)","(0.2518188059329986, 0.2361513525247573)"
AFRM,3,"(8.0052574e-05, 8.959458e-05)","(0.2420164495706558, 0.2478071302175521)","(0.2420335412025451, 0.2478171736001968)"
AFRM,4,"(0.012161996, 9.372745e-05)","(56.13833236694336, 0.2669370472431183)","(56.13949966430664, 0.266956090927124)"
AFRM,5,"(0.01983786, 0.00012838483)","(84.01009368896484, 0.2733780443668365)","(84.01416015625, 0.2734411954879761)"
AFRM,6,"(0.027932724, 0.00014206875)","(96.85546875, 0.2937279939651489)","(96.86193084716795, 0.2937741577625274)"
AFRM,7,"(0.04454865, 7.048708e-05)","(133.1215362548828, 0.3555735051631927)","(133.13380432128906, 0.3555908501148224)"
AFRM,8,"(0.07146883, 6.307537e-05)","(237.33416748046875, 0.2767144739627838)","(237.3356170654297, 0.2767186462879181)"
AFRM,9,"(0.11962185, 4.8316386e-05)","(474.5647888183594, 0.2256242036819458)","(474.5970764160156, 0.2256277203559875)"
AFRM,10,"(0.15837906, 4.8315545e-05)","(744.1679077148438, 0.2159672379493713)","(744.1851196289062, 0.215970829129219)"
NAI,5,"(0.00011819212, 8.883644e-05)","(0.1323281, 0.13521737)","(0.13234404, 0.13518356)"
NAI,10,"(5.5414184e-05, 1.5190621e-05)","(0.10101974, 0.015527572)","(0.101024956, 0.015533107)"
NAI,15,"(4.7525642e-05, 3.4877095e-05)","(0.0704005, 0.08534888)","(0.07040641, 0.08536298)"
NAI,20,"(0.00010665177, 4.005044e-05)","(0.14708649, 0.03682116)","(0.14708844, 0.036819506)"
NAI,25,"(0.000107741595, 3.0724263e-05)","(0.18161283, 0.06581878)","(0.18162586, 0.06582311)"
NAI,30,"(9.015218e-05, 2.5304538e-05)","(0.15758304, 0.04501125)","(0.15758562, 0.04503283)"
NAI,35,"(0.00012923426, 4.0648218e-05)","(0.12332035, 0.038858898)","(0.1233205, 0.038828902)"
NAI,40,"(0.000104961735, 5.634819e-05)","(0.13121368, 0.15143019)","(0.13122252, 0.15143369)"
NAI,45,"(4.435613e-05, 2.8572433e-05)","(0.1781468, 0.07427927)","(0.17814134, 0.074290864)"
NAI,50,"(5.4756787e-05, 1.6149637e-05)","(0.10019662, 0.021034295)","(0.10019498, 0.021029033)"
NAI,55,"(5.2166917e-05, 2.6420175e-05)","(0.06042626, 0.053642344)","(0.06043076, 0.0536488)"
NAI,60,"(4.7203543e-05, 1.7693352e-05)","(0.077913776, 0.026356248)","(0.07791739, 0.02635961)"
NAI,65,"(0.000118785334, 5.609414e-06)","(0.18438889, 0.01220348)","(0.18438523, 0.012202657)"
NAI,70,"(0.00013400054, 3.290417e-05)","(0.13762107, 0.043608505)","(0.13764776, 0.04362132)"
NAI,75,"(9.695592e-05, 8.000625e-06)","(0.11667331, 0.025296696)","(0.11667997, 0.025293296)"
NAI,80,"(3.9270384e-05, 7.07005e-06)","(0.050965533, 0.0143163875)","(0.050966036, 0.014318778)"
NAI,85,"(6.6258064e-05, 3.1329942e-05)","(0.111302555, 0.05904958)","(0.11130226, 0.05905823)"
NAI,90,"(0.00010592765, 2.8061891e-05)","(0.10628275, 0.05134772)","(0.10628718, 0.05135944)"
NAI,95,"(6.0793067e-05, 2.6164727e-05)","(0.063188344, 0.034668166)","(0.0631875, 0.034666065)"
NAI,100,"(6.837464e-05, 5.7666413e-05)","(0.09952686, 0.0960613)","(0.09952528, 0.09607398)"
NS,5,"(4.9803628e-05, 6.2807114e-05)","(0.20299168, 0.1990956)","(0.20299028, 0.1990881)"
NS,10,"(5.6086024e-05, 6.321049e-05)","(0.19786352, 0.19941169)","(0.19786416, 0.19942206)"
NS,15,"(5.658434e-05, 5.3997515e-05)","(0.19725978, 0.21083172)","(0.19726677, 0.21084046)"
NS,20,"(5.429761e-05, 5.8937087e-05)","(0.19754814, 0.21181183)","(0.19755407, 0.211821)"
NS,25,"(5.701717e-05, 5.6176865e-05)","(0.19969486, 0.19159092)","(0.19969605, 0.19159645)"
NS,30,"(5.653058e-05, 5.6474422e-05)","(0.21837705, 0.21101373)","(0.21838398, 0.21102102)"
NS,35,"(5.510916e-05, 5.78007e-05)","(0.20161365, 0.22037351)","(0.20162095, 0.2203845)"
NS,40,"(5.657131e-05, 6.107527e-05)","(0.21837705, 0.20947199)","(0.21838398, 0.20947705)"
NS,45,"(4.980275e-05, 6.2798856e-05)","(0.20299168, 0.1990956)","(0.20299028, 0.1990881)"
NS,50,"(5.6075132e-05, 6.3974694e-05)","(0.19786352, 0.18935107)","(0.19786416, 0.18935458)"
NS,55,"(5.9338923e-05, 7.1510476e-05)","(0.2132176, 0.19250165)","(0.21322261, 0.19252501)"
NS,60,"(5.512936e-05, 6.476559e-05)","(0.21386756, 0.19065487)","(0.2138753, 0.19065219)"
NS,65,"(5.662136e-05, 5.8433045e-05)","(0.21603705, 0.19002087)","(0.2160399, 0.19002925)"
NS,70,"(5.6918438e-05, 6.0440176e-05)","(0.21808948, 0.18724419)","(0.21809237, 0.18724386)"
NS,75,"(6.181457e-05, 6.295923e-05)","(0.21135427, 0.18928196)","(0.21136202, 0.18929552)"
NS,80,"(6.211783e-05, 5.727014e-05)","(0.20990793, 0.19085068)","(0.20991665, 0.1908576)"
NS,85,"(5.97686e-05, 5.5897515e-05)","(0.21428096, 0.19150095)","(0.21428323, 0.19149679)"
NS,90,"(5.890673e-05, 6.580938e-05)","(0.20529802, 0.18836153)","(0.2053097, 0.18838038)"
NS,95,"(5.863165e-05, 5.1769002e-05)","(0.21521296, 0.19107644)","(0.21521883, 0.19107795)"
NS,100,"(5.929645e-05, 5.8277477e-05)","(0.21646453, 0.1861972)","(0.21647023, 0.18621182)"
LS,2,"(4.5277207e-05, 5.1464547e-05)","(0.175933, 0.23123048)","(0.17594403, 0.23122466)"
LS,4,"(4.53027e-05, 6.840216e-05)","(0.17593296, 0.2572329)","(0.17594403, 0.25722498)"
LS,6,"(4.5314173e-05, 6.840124e-05)","(0.17593296, 0.2572329)","(0.17594403, 0.25722498)"
LS,8,"(7.066803e-05, 6.0570044e-05)","(0.249596, 0.21368165)","(0.24960804, 0.21369101)"
LS,10,"(5.168209e-05, 6.0566275e-05)","(0.20459837, 0.21368164)","(0.2046135, 0.21369101)"
LS,12,"(9.491448e-05, 6.0565915e-05)","(0.21811134, 0.21368164)","(0.21812089, 0.21369101)"
LS,14,"(9.4910676e-05, 6.8398425e-05)","(0.21811134, 0.2572329)","(0.21812092, 0.25722498)"
LS,16,"(5.1671566e-05, 5.4095013e-05)","(0.20459838, 0.23963244)","(0.2046135, 0.2396365)"
LS,18,"(8.467568e-05, 5.4820994e-05)","(0.2123028, 0.21450068)","(0.21230714, 0.21450865)"
LS,20,"(5.1675965e-05, 5.617917e-05)","(0.20459837, 0.2109432)","(0.2046135, 0.21093231)"
LS,22,"(5.168366e-05, 6.840371e-05)","(0.20459837, 0.25723293)","(0.2046135, 0.25722498)"
LS,24,"(7.0658876e-05, 6.840137e-05)","(0.24959601, 0.2572329)","(0.24960804, 0.25722498)"
LS,26,"(7.067637e-05, 5.146509e-05)","(0.249596, 0.23123048)","(0.24960804, 0.23122466)"
LS,28,"(7.067188e-05, 7.840222e-05)","(0.24959604, 0.24595232)","(0.24960804, 0.24597548)"
LS,30,"(6.809382e-05, 5.409153e-05)","(0.18451045, 0.23963249)","(0.18452336, 0.2396365)"
LS,32,"(6.8092486e-05, 5.6182063e-05)","(0.18451045, 0.2109432)","(0.18452336, 0.21093231)"
LS,34,"(9.2559545e-05, 5.619176e-05)","(0.2373069, 0.2109432)","(0.23732106, 0.21093231)"
