mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
RA,32,"(1.912509, 1.123622)","(2.2749429, 3.512315)","(0.90501654, 4.2027345)"
RA,34,"(3.394574, 1.0625644)","(4.7435284, 2.4003778)","(3.0949628, 2.5282567)"
RA,36,"(3.394574, 1.149391)","(4.7435474, 4.288619)","(3.094923, 4.5345626)"
RA,38,"(4.025588, 1.149391)","(4.6373167, 4.3921003)","(3.21446, 4.69269)"
RA,40,"(4.025588, 1.340058)","(4.637321, 4.9238033)","(3.214452, 5.0846634)"
LA,2,"(3.0570474, 3.0570474)","(2.3811443, 2.3811443)","(3.8498778, 3.8498778)"
LA,4,"(0.0, 2.4718437)","(738.76697, 3.2634208)","(738.76697, 1.2789657)"
LA,6,"(0.0, 2.4542098)","(5146423.0, 4.6138983)","(5146423.0, 3.3294067)"
LA,8,"(0.0, 139.88982)","(6103812.0, 25.380842)","(6103812.0, 115.23128)"
LA,10,"(0.0, 139.88982)","(6874822.5, 17.959782)","(6874822.5, 121.93004)"
LA,12,"(0.0, 139.88982)","(7541720.0, 7.879451)","(7541720.0, 132.01036)"
LA,14,"(0.0, 139.88982)","(8111063.0, 6.04602)","(8111063.0, 133.84383)"
LA,16,"(0.0, 139.88982)","(8574937.0, 6.742746)","(8574937.0, 133.1471)"
LA,18,"(0.0, 557.22815)","(8950777.0, 14.4312105)","(8950777.0, 542.7968)"
LA,20,"(0.0, 70876.83)","(0.0, 393.65036)","(0.0, 70483.17)"
LA,22,"(0.0, 122889.17)","(0.0, 193.77328)","(0.0, 122695.4)"
LA,24,"(0.0, 122889.17)","(0.0, 282.56387)","(0.0, 122606.625)"
LA,26,"(0.0, 245776.95)","(0.0, 748.02704)","(0.0, 245028.92)"
LA,28,"(0.0, 245776.95)","(0.0, 702.1212)","(0.0, 245074.8)"
LA,30,"(0.0, 245776.95)","(0.0, 346.8634)","(0.0, 245430.1)"
LA,32,"(0.0, 245776.95)","(0.0, 219.2642)","(0.0, 245557.67)"
LA,34,"(0.0, 110142.4)","(0.0, 204.65054)","(0.0, 109937.75)"
LA,36,"(0.0, 110142.4)","(0.0, 361.28766)","(0.0, 109781.11)"
LA,38,"(0.0, 110142.4)","(0.0, 494.5585)","(0.0, 109647.85)"
LA,40,"(0.0, 110142.4)","(0.0, 561.54333)","(0.0, 109580.85)"
