mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
SM,75,"(2.06525e-08, 1.1220231e-06)","(3.6956794e-07, 8.66765e-07)","(3.711857e-07, 1.664164e-06)"
SM,80,"(2.060562e-08, 1.4209814e-06)","(3.6950462e-07, 1.3495563e-06)","(3.7115942e-07, 1.6972481e-06)"
SM,85,"(2.060562e-08, 1.4209814e-06)","(3.6950462e-07, 1.3495563e-06)","(3.7115942e-07, 1.6972481e-06)"
SM,90,"(2.060562e-08, 1.4209814e-06)","(3.6950462e-07, 1.3495563e-06)","(3.7115942e-07, 1.6972481e-06)"
SM,95,"(2.1479641e-08, 1.3888127e-06)","(3.693094e-07, 1.3273554e-06)","(3.7088193e-07, 1.7031788e-06)"
SM,100,"(2.141688e-08, 1.3888127e-06)","(3.6931678e-07, 1.3273715e-06)","(3.7076384e-07, 1.7031623e-06)"
NS,5,"(2.9071023e-07, 2.2143172e-06)","(0.0030636427, 0.0032949408)","(0.0030637023, 0.0032941871)"
NS,10,"(2.8372273e-07, 1.964285e-06)","(0.0030616776, 0.003292591)","(0.0030617237, 0.0032917724)"
NS,15,"(2.8442193e-07, 2.283027e-06)","(0.0030516193, 0.0032367117)","(0.00305167, 0.0032368067)"
NS,20,"(2.722288e-07, 5.636324e-06)","(0.003033045, 0.0032615804)","(0.0030330913, 0.0032630397)"
NS,25,"(2.70137e-07, 1.0757203e-05)","(0.0030255378, 0.0032565764)","(0.003025591, 0.0032543885)"
NS,30,"(1.7065371e-05, 3.2568921e-06)","(0.0104085365, 0.0036666507)","(0.010412954, 0.003665852)"
NS,35,"(1.720423e-05, 3.4828306e-06)","(0.010438463, 0.0036778853)","(0.010443022, 0.0036772708)"
NS,40,"(1.8123072e-05, 3.9091133e-06)","(0.010728382, 0.003689523)","(0.010732905, 0.0036906016)"
NS,45,"(1.8094845e-05, 3.668719e-06)","(0.010709025, 0.003964912)","(0.010713789, 0.0039638537)"
NS,50,"(1.7880999e-05, 1.3180198e-05)","(0.01070682, 0.004542395)","(0.010711409, 0.004546825)"
NS,55,"(1.8125627e-05, 1.3724352e-05)","(0.01073996, 0.0041246186)","(0.0107445475, 0.004130625)"
NS,60,"(1.7819202e-05, 2.9140645e-06)","(0.010661296, 0.005158371)","(0.010666025, 0.005158515)"
NS,65,"(1.7974668e-05, 3.4856612e-06)","(0.0106526455, 0.0051943692)","(0.010657211, 0.005194424)"
NS,70,"(1.7672373e-05, 3.7473576e-06)","(0.010653313, 0.006279808)","(0.010657585, 0.006279733)"
NS,75,"(1.8021776e-05, 2.239044e-06)","(0.010503046, 0.0064866766)","(0.010507445, 0.0064862617)"
NS,80,"(1.830867e-05, 1.998336e-06)","(0.010511272, 0.006555941)","(0.010515307, 0.0065555116)"
NS,85,"(1.493956e-05, 2.5876634e-06)","(0.0090860035, 0.005286963)","(0.009088882, 0.005286864)"
NS,90,"(1.2604393e-05, 2.8235188e-05)","(0.008682889, 0.00690903)","(0.008684599, 0.006898779)"
